"","Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place"
"1","Abbie Murphy","F","SBD","Wraps",29,"24-34","F-OR",59.8,"60",80,92.5,105,NA,105,45,50,55,NA,55,110,120,130,NA,130,290,"4"
"2","Abbie Tuong","F","SBD","Wraps",29,"24-34","F-OR",58.5,"60",100,110,120,NA,120,55,62.5,67.5,NA,67.5,130,140,145,NA,145,332.5,"2"
"3","Ainslee Hooper","F","B","Raw",40,"40-44","F-OR",55.4,"56",NA,NA,NA,NA,NA,27.5,32.5,-35,NA,32.5,NA,NA,NA,NA,NA,32.5,"1"
"4","Amy Moldenhauer","F","SBD","Wraps",23,"20-23","F-OR",60,"60",-105,-105,105,NA,105,67.5,72.5,-75,NA,72.5,132.5,-140,-140,NA,132.5,310,"3"
"5","Andrea Rowan","F","SBD","Wraps",45,"45-49","F-OR",104,"110",120,130,140,NA,140,70,75,80,NA,80,150,160,170,NA,170,390,"3"
"6","April Alvarez","F","SBD","Wraps",37,"35-39","F-OR",74,"75",127.5,135,142.5,NA,142.5,72.5,77.5,82.5,NA,82.5,125,135,145,NA,145,370,"5"
"7","Ash Morgan","F","SBD","Wraps",23,"20-23","F-OR",59.8,"60",115,125,-135,NA,125,65,70,-75,NA,70,130,140,150,NA,150,345,"1"
"8","Belinda Moloney","F","SBD","Wraps",35,"35-39","F-OR",80.4,"82.5",120,130,140,NA,140,67.5,72.5,77.5,NA,77.5,125,140,152.5,NA,152.5,370,"5"
"9","Briony Williams","F","SBD","Wraps",36,"35-39","F-OR",108,"110",180,200,220,NA,220,90,100,NA,NA,100,200,NA,NA,NA,200,520,"1"
"10","Brooke Kowalczyk","F","SBD","Wraps",37,"35-39","F-OR",74.8,"75",180,190,200,NA,200,90,95,-97.5,NA,95,160,170,180,NA,180,475,"1"
"11","Carmen Daldry","F","SBD","Wraps",34,"24-34","F-OR",82,"82.5",175,185,-195,NA,185,85,-90,-90,NA,85,180,192.5,-202.5,NA,192.5,462.5,"2"
"12","Christina Tsatsoulis","F","SBD","Raw",27,"24-34","F-OR",102,"110",135,-140,140,NA,140,77.5,82.5,-85,NA,82.5,180,-185,-185,NA,180,402.5,"2"
"13","Dakoda Plumridge","F","SBD","Wraps",27,"24-34","F-OR",78.6,"82.5",172.5,182.5,-192.5,NA,182.5,92.5,100,105,NA,105,175,190,205,NA,205,492.5,"1"
"14","Deborah Carmody","F","SBD","Wraps",38,"35-39","F-OR",74.7,"75",-170,170,-177.5,NA,170,92.5,95,-97.5,NA,95,200,207.5,-210,NA,207.5,472.5,"2"
"15","Elizabeth Ciortuz","F","SBD","Raw",19,"18-19","F-OR",72.7,"75",95,105,112.5,NA,112.5,55,-60,60,NA,60,107.5,117.5,127.5,NA,127.5,300,"7"
"16","Eve Lundmark-Bourke","F","SBD","Wraps",30,"24-34","F-OR",108.1,"110",135,142.5,147.5,NA,147.5,65,70,-72.5,NA,70,140,152.5,157.5,NA,157.5,375,"4"
"17","Helene Faccio","F","SBD","Wraps",50,"50-54","F-OR",55.2,"56",130,137.5,-142.5,NA,137.5,65,70,-72.5,NA,70,160,172.5,182.5,NA,182.5,390,"1"
"18","Jacinta Holman","F","SBD","Wraps",49,"45-49","F-OR",77.2,"82.5",110,115,120,NA,120,60,-65,65,NA,65,170,-180,-180,NA,170,355,"6"
"19","Jade Cranwell","F","SBD","Wraps",33,"24-34","F-OR",71.9,"75",135,145,150,NA,150,85,-90,90,NA,90,130,137.5,145,NA,145,385,"4"
"20","Jasmine Hoare","F","SBD","Raw",31,"24-34","F-OR",77.7,"82.5",130,137.5,145,NA,145,75,80,-85,NA,80,145,155,-165,NA,155,380,"4"
"21","Joanne Lawrence","F","SBD","Wraps",48,"45-49","F-OR",55.8,"56",115,120,122.5,NA,122.5,77.5,82.5,-85,NA,82.5,140,150,157.5,NA,157.5,362.5,"2"
"22","Joelle Savgy","F","SBD","Raw",29,"24-34","F-OR",72.1,"75",90,100,105,NA,105,55,60,-62.5,NA,60,125,132.5,137.5,NA,137.5,302.5,"6"
"23","Kate Drinkwater","F","SBD","Wraps",28,"24-34","F-OR",51.2,"52",100,-110,110,NA,110,45,47.5,-50,NA,47.5,115,125,-132.5,NA,125,282.5,"2"
"24","Kathleen Beggs","F","SBD","Wraps",30,"24-34","F-OR",55,"56",100,115,125,NA,125,60,65,-70,NA,65,130,142.5,155,NA,155,345,"3"
"25","Kellie Donaldson","F","SBD","Wraps",34,"24-34","F-OR",74,"75",155,165,-170,NA,165,95,100,-102.5,NA,100,155,167.5,175,NA,175,440,"3"
